"Baumit 3K3","3k3","#93aa72"
"Baumit 3K5","3k5","#b1c291"
"Baumit 3K7","3k7","#c7d1af"
"Baumit 3K9","3k9","#d3d7c2"
"Baumit 3M1","3m1","#c78949"
"Baumit 3M3","3m3","#dca260"
"Baumit 3M5","3m5","#e3b881"
"Baumit 3M7","3m7","#eed1a9"
"Baumit 3M9","3m9","#ecdcbf"
"Baumit 3R1","3r1","#d6564b"
"Baumit 3R3","3r3","#e5726b"
"Baumit 3R5","3r5","#e68e8b"
"Baumit 3R7","3r7","#e8abab"
"Baumit 3R9","3r9","#e9c3c3"
"Baumit 3S1","3s1","#5f5a5d"
"Baumit 3S3","3s3","#777275"
"Baumit 3S5","3s5","#8e8b8c"
"Baumit 3S7","3s7","#b3b0b0"
"Baumit 3S9","3s9","#c6c6c6"
"Baumit 3U1","3u1","#65504e"
"Baumit 3U3","3u3","#7c6664"
"Baumit 3U5","3u5","#9c8885"
"Baumit 3U7","3u7","#baa9a6"
"Baumit 3U9","3u9","#cdc1be"
"Baumit 3Z1","3z1","#8a4e47"
"Baumit 3Z3","3z3","#a2655f"
"Baumit 3Z5","3z5","#ba817a"
"Baumit 3Z7","3z7","#d2a8a1"
"Baumit 3Z9","3z9","#dbbcb6"
"Baumit 4A1","4a1","#5e91c6"
"Baumit 4A3","4a3","#78aad8"
"Baumit 4A5","4a5","#9bbfda"
"Baumit 4A7","4a7","#bed2df"
"Baumit 4A9","4a9","#d0dee3"
"Baumit 4M1","4m1","#c7824d"
"Baumit 4M3","4m3","#d89b63"
"Baumit 4M5","4m5","#e7b687"
"Baumit 4M7","4m7","#edcdab"
"Baumit 4M9","4m9","#ecdac2"
"Baumit 4R1","4r1","#a95a58"
"Baumit 4R3","4r3","#c57273"
"Baumit 4R5","4r5","#da9091"
"Baumit 4R7","4r7","#deacae"
"Baumit 4R9","4r9","#e5c4c5"
"Baumit 4S1","4s1","#58595c"
"Baumit 4S3","4s3","#717276"
"Baumit 4S5","4s5","#919295"
"Baumit 4S7","4s7","#b3b3b4"
"Baumit 4S9","4s9","#c8c8c7"
"Baumit 4U1","4u1","#5b4f4c"
"Baumit 4U3","4u3","#736461"
"Baumit 4U5","4u5","#91827e"
"Baumit 4U7","4u7","#afa29d"
"Baumit 4U9","4u9","#c4bcb7"
"Baumit 4Z1","4z1","#8e4f46"
"Baumit 4Z3","4z3","#a25f53"
"Baumit 4Z5","4z5","#bd8075"
"Baumit 4Z7","4z7","#d2a299"
"Baumit 4Z9","4z9","#ddbcb4"
"Baumit 5A1","5a1","#53a0c6"
"Baumit 5A3","5a3","#7cb5d2"
"Baumit 5A5","5a5","#a3cadb"
"Baumit 5A7","5a7","#c0d7dd"
"Baumit 5A9","5a9","#cfd9d9"
"Baumit 5R1","5r1","#815050"
"Baumit 5R3","5r3","#9a6869"
"Baumit 5R5","5r5","#b28887"
"Baumit 5R7","5r7","#cdacab"
"Baumit 5R9","5r9","#d9c2be"
"Baumit 5S1","5s1","#4e4f53"
"Baumit 5S3","5s3","#66676b"
"Baumit 5S5","5s5","#858688"
"Baumit 5S7","5s7","#a7a8a9"
"Baumit 5S9","5s9","#c1c2c2"
"Baumit 5U1","5u1","#67594f"
"Baumit 5U3","5u3","#807064"
"Baumit 5U5","5u5","#9f8f82"
"Baumit 5U7","5u7","#bbaea2"
"Baumit 5U9","5u9","#cec5bb"
"Baumit 6S1","6s1","#57606a"
"Baumit 6S3","6s3","#747e87"
"Baumit 6S5","6s5","#949ca3"
"Baumit 6S7","6s7","#b5bbc0"
"Baumit 6S9","6s9","#bcc1c4"
"Baumit 09A","09a","#dee1dc"
"Baumit 09B","09b","#e8e2d0"
"Baumit 09C","09c","#ecdfd1"
"Baumit 09F","09f","#e1e1dd"
"Baumit 09G","09g","#e7e5d7"
"Baumit 09J","09j","#dde4d9"
"Baumit 09K","09k","#e7e7db"
"Baumit 09L","09l","#e1e5d7"
"Baumit 09M","09m","#e9e3ce"
